don;acc;acctodon;DFRET;NFRETc;FRETNc
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2962313.239;302687.6256;0.10217948;0.003413388;0.010678341;1.13156E-08
2640743.036;1346655.995;0.50995344;0.10256829;0.14363089;8.48702E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4637963.086;1642855.038;0.354219084;0.063849406;0.107280523;4.15157E-08
5350447.547;2031191.059;0.379630123;0.025421313;0.0412589;1.28419E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
508435.8551;552657.914;1.086976673;0.08084044;0.077538707;1.59141E-07
1834180.067;656908.1285;0.358148112;0.023537009;0.039329637;3.66936E-08
1907204.676;382770.1103;0.200696923;0.012999704;0.029017709;3.44095E-08
984392.2761;366240.7239;0.372047539;0.036110451;0.059201634;1.02291E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1953227.833;1031686.051;0.528195448;0.035107849;0.048306647;3.52678E-08
434629.3918;216367.5268;0.497820743;0.046392879;0.065752888;2.24848E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
348263.6225;284862.2618;0.817950091;0.049941429;0.055220147;1.84534E-07
5958997.866;3465816.55;0.581610638;0.04640179;0.060844113;1.40399E-08
2577913.786;925737.8001;0.359103475;0.024776721;0.041346051;2.74443E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1161331.135;1266952.464;1.090948503;0.078439182;0.075098442;6.71814E-08
716133.6709;225990.4594;0.315570219;0.03118579;0.055514795;1.42438E-07
2554082.348;410140.5167;0.160582339;0.009672179;0.024136563;2.38129E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2781265.136;876526.5858;0.315153911;0.019739558;0.035162202;2.29737E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2272869.835;970257.3417;0.426886453;0.032584103;0.049871173;3.47141E-08
1069558.114;205229.2783;0.191882307;0.018047419;0.04120004;8.95541E-08
3590805.745;1225225.676;0.341211907;0.023512156;0.040251343;1.96521E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
454652.9079;506616.8296;1.114293609;0.065462987;0.062014893;1.38267E-07
2192838.861;601258.4479;0.274191806;0.017811123;0.034014498;3.01603E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1569408.34;971881.4105;0.619266118;0.034685326;0.044076502;3.69712E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4684596.811;1506732.586;0.321635489;0.051481979;0.090776462;3.60225E-08
464960.3821;252937.3229;0.543997581;0.030034881;0.040721843;1.22421E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1603547.784;480169.24;0.299441803;0.016099613;0.029421122;3.40777E-08
688490.8397;98280.91672;0.142748329;0.021417952;0.056688169;2.22696E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1496782.643;437563.4999;0.292336033;0.026424569;0.048872745;6.20293E-08
4675858.39;1742160.322;0.372586203;0.027246063;0.044636525;1.60773E-08
1114419.041;559474.5854;0.502032507;0.050930964;0.071881308;9.59188E-08
502352.2744;284166.8208;0.565672408;0.028097378;0.037357972;1.01735E-07
2622117.436;696085.0089;0.265466756;0.013967743;0.027109479;2.03504E-08
335346.8379;105828.1913;0.315578319;0.017229554;0.030670472;1.65661E-07
1302627.496;1959019.072;1.503898143;0.059111908;0.048202078;3.207E-08
2512826.356;553710.8402;0.220353802;0.018092588;0.038542547;3.32772E-08
2753693.1;857331.1094;0.311338656;0.059284109;0.106248248;7.35074E-08
385224.2224;172062.0316;0.446654238;0.04984033;0.074575329;3.04859E-07
3122444.962;474775.481;0.152052474;0.011314482;0.029016025;2.41039E-08
4479897.729;588119.0763;0.131279576;0.010352321;0.028571901;1.77866E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
637807.6336;654388.3737;1.025996459;0.056248351;0.055531175;9.10786E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
685006.5047;186605.3648;0.272414004;0.028757864;0.055098771;1.58674E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5029098.299;1533294.478;0.304884571;0.052511186;0.095100786;3.61453E-08
945832.1586;878338.7257;0.928641216;0.057151579;0.059306767;6.9012E-08
615739.5091;457495.5039;0.743001703;0.03180097;0.036893126;7.17941E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
5127641.53;1476064.313;0.287864178;0.021508185;0.04008759;1.48916E-08
400357.7249;78403.96189;0.195834767;0.012361507;0.027933574;1.59638E-07
1669719.181;610995.0593;0.365926837;0.027589063;0.045607873;4.64354E-08
597474.3223;162539.6243;0.272044535;0.014262912;0.027345647;8.90201E-08
2017367.326;1834903.219;0.909553355;0.060213072;0.063135946;3.49179E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
4159839.986;1213513.222;0.29172113;0.051419387;0.095201316;4.46692E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
597393.4161;484044.0932;0.810260174;0.071786903;0.079750418;1.59776E-07
416772.4479;68131.32555;0.163473679;0.008497957;0.021017963;1.25798E-07
3752241.576;1427178.04;0.380353453;0.034457389;0.055871289;2.50053E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1679296.534;432862.246;0.257764032;0.027510777;0.054186575;6.53534E-08
630838.4053;229251.8792;0.363408247;0.028480054;0.047243647;1.27872E-07
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
455234.8123;474384.8928;1.04206638;0.083002602;0.08131001;1.90806E-07
2723398.778;407205.5775;0.149521099;0.006449533;0.016679269;1.59413E-08
2854960.479;1457196.243;0.510408552;0.044462869;0.062235548;3.19324E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
3718982.389;2063524.357;0.554862632;0.054279803;0.072869456;2.78142E-08
995250.1313;477288.2005;0.479566076;0.043409297;0.062684263;9.50771E-08
752417.9689;576081.8544;0.765640745;0.039475065;0.045113896;7.13395E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1476418.711;240020.9271;0.162569687;0.004581723;0.011363419;1.91767E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1322107.202;204000.7392;0.154299696;0.012552467;0.03195557;6.23137E-08
1741300.166;380033.8401;0.218247174;0.023115388;0.049479678;6.22638E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
698800.4195;606234.9164;0.867536566;0.060823313;0.065301955;1.06827E-07
2762495.809;1224409.37;0.443225784;0.031123237;0.046748992;2.62355E-08
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
